Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
AFF1,LTC-5723HR,1
"C2,C3",06031U220FAT2A,2
C4,0603YC334JAT2A,1
"C1,C5,C6",885012206071,3
CON1,RAPC722X,1
"D1,D2,D3,D4,D5,D6,D7,D8",HT-193UYG-5592,8
IC1,ATMEGA328-AU,1
P1,961206-6404-AR,1
"R11,R12,R13,R14,R15,R16,R17,R18,R19,R20",CRCW06033K30FKEA,10
"R10,R2,R4,R5,R6,R7,R8,R9",CRCW0603150RFKEA,8
"R1,R21,R22,R23",CRCW060310K0FKEA,4
R3,CRCW060323K2FKEA,1
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9",KSR252G LFS,9
U1,MC7805ABD2TR4G,1
U2,AS1115-BSST,1
U3,SN74HC595DR,1
Y1,9C-16.000MEEJ-T,1
