Reference, Value, Footprint, Datasheet, Item
CON1,BARREL_JACK,Connect:BARREL_JACK,http://www.mouser.com/ds/2/393/rapc722x_cd-371352.pdf,RAPC722X
AFF1,LTC-5723HR,Displays_7-Segment:Cx56-12,,LTC-5723HR
U2,AS1115,oren:QSOP-24,,AS1115-BSST
R3,23.2K,Resistors_SMD:R_0603,,CRCW060323K2FKEA
SW2,Ind5,Buttons_Switches_SMD:SW_SPST_EVQPE1,,KSR252G LFS
R11,3K3,Resistors_SMD:R_0603,,CRCW06033K30FKEA
R21,10K,Resistors_SMD:R_0603,,CRCW060310K0FKEA
D1,ILED1,LEDs:LED_0603,,HT-193UYG-5592
U3,74HC595,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,,SN74HC595DR
R2,150,Resistors_SMD:R_0603,,CRCW0603150RFKEA
D2,ILED1,LEDs:LED_0603,,HT-193UYG-5592
R4,150,Resistors_SMD:R_0603,,CRCW0603150RFKEA
D3,ILED1,LEDs:LED_0603,,HT-193UYG-5592
R5,150,Resistors_SMD:R_0603,,CRCW0603150RFKEA
D4,ILED1,LEDs:LED_0603,,HT-193UYG-5592
R6,150,Resistors_SMD:R_0603,,CRCW0603150RFKEA
D5,ILED1,LEDs:LED_0603,,HT-193UYG-5592
R7,150,Resistors_SMD:R_0603,,CRCW0603150RFKEA
D6,ILED1,LEDs:LED_0603,,HT-193UYG-5592
R8,150,Resistors_SMD:R_0603,,CRCW0603150RFKEA
D7,ILED1,LEDs:LED_0603,,HT-193UYG-5592
R9,150,Resistors_SMD:R_0603,,CRCW0603150RFKEA
D8,ILED1,LEDs:LED_0603,,HT-193UYG-5592
R10,150,Resistors_SMD:R_0603,,CRCW0603150RFKEA
C6,0.1uF,Capacitors_SMD:C_0603,,06033C104K4T4A
R12,3K3,Resistors_SMD:R_0603,,CRCW06033K30FKEA
R13,3K3,Resistors_SMD:R_0603,,CRCW06033K30FKEA
R14,3K3,Resistors_SMD:R_0603,,CRCW06033K30FKEA
R19,3K3,Resistors_SMD:R_0603,,CRCW06033K30FKEA
R15,3K3,Resistors_SMD:R_0603,,CRCW06033K30FKEA
R18,3K3,Resistors_SMD:R_0603,,CRCW06033K30FKEA
R17,3K3,Resistors_SMD:R_0603,,CRCW06033K30FKEA
R16,3K3,Resistors_SMD:R_0603,,CRCW06033K30FKEA
SW3,Ind6,Buttons_Switches_SMD:SW_SPST_EVQPE1,,KSR252G LFS
SW4,Ind7,Buttons_Switches_SMD:SW_SPST_EVQPE1,,KSR252G LFS
SW5,Ind8,Buttons_Switches_SMD:SW_SPST_EVQPE1,,KSR252G LFS
SW6,Ind1,Buttons_Switches_SMD:SW_SPST_EVQPE1,,KSR252G LFS
SW7,Ind2,Buttons_Switches_SMD:SW_SPST_EVQPE1,,KSR252G LFS
SW8,Ind3,Buttons_Switches_SMD:SW_SPST_EVQPE1,,KSR252G LFS
SW9,Ind4,Buttons_Switches_SMD:SW_SPST_EVQPE1,,KSR252G LFS
R20,3K3,Resistors_SMD:R_0603,,CRCW06033K30FKEA
R22,10K,Resistors_SMD:R_0603,,CRCW060310K0FKEA
R23,10K,Resistors_SMD:R_0603,,CRCW060310K0FKEA
IC1,ATMEGA328-AU,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,http://www.mouser.com/ds/2/36/atmel-8271-8-bit-avr-microcontroller-atmega48a-48p-365589.pdf,ATMEGA328-AU
R1,10K,Resistors_SMD:R_0603,,CRCW060310K0FKEA
SW1,SW_PUSH,Buttons_Switches_SMD:SW_SPST_EVQPE1,,KSR252G LFS
C1,0.1uF,Capacitors_SMD:C_0603,,06033C104K4T4A
P1,CONN_02X03,Pin_Headers:Pin_Header_Straight_2x03,http://www.mouser.com/ds/2/1/ts2181-30266.pdf,961206-6404-AR
Y1,16MHz,Crystals:Crystal_HC49-SD_SMD,http://www.mouser.com/ds/2/417/9c-13007.pdf,9C-16.000MEEJ-T
C2,22pF,Capacitors_SMD:C_0603,http://www.mouser.com/ds/2/40/U-Series-894201.pdf,06031U220FAT2A
C3,22pF,Capacitors_SMD:C_0603,http://www.mouser.com/ds/2/40/U-Series-894201.pdf,06031U220FAT2A
U1,Vreg,TO_SOT_Packages_SMD:TO-263-3Lead,http://www.mouser.com/ds/2/308/MC7800-D-94905.pdf,MC7805ABD2TR4G
C4,0.33uF,Capacitors_SMD:C_0603,,0603YC334JAT2A
C5,0.1uF,Capacitors_SMD:C_0603,,06033C104K4T4A
